; Sample name : 187-10 
; Efficiency = 8.83 %
; Fill factor = 58.88 %
; Voc = 0.640 Volts
; Icc = -23.45 mA/cm2
; Surface = 0.25 cm2
-0.01	-23.6417
0	-23.4471
0.01	-23.4916
0.02	-23.6205
0.03	-23.5673
0.04	-23.4542
0.05	-23.6302
0.06	-23.4719
0.07	-23.5091
0.08	-23.5146
0.09	-23.5515
0.1	-23.4331
0.11	-23.336
0.12	-23.4078
0.13	-23.479
0.14	-23.3959
0.15	-23.4163
0.16	-23.2079
0.17	-23.3189
0.18	-23.3384
0.19	-23.2987
0.2	-23.2317
0.21	-23.2981
0.22	-23.316
0.23	-23.1345
0.24	-23.1882
0.25	-23.0818
0.26	-23.0093
0.27	-23.0375
0.28	-22.8023
0.29	-22.8162
0.3	-22.8352
0.31	-22.6235
0.32	-22.6324
0.33	-22.3405
0.34	-22.4103
0.35	-22.2704
0.36	-21.8974
0.37	-21.9136
0.38	-21.7238
0.39	-21.4794
0.4	-21.1573
0.41	-21.0464
0.42	-20.7086
0.43	-20.3297
0.44	-19.8432
0.45	-19.5746
0.46	-19.1967
0.47	-18.5384
0.48	-18.055
0.49	-17.5359
0.5	-16.9005
0.51	-16.1757
0.52	-15.4396
0.53	-14.5795
0.54	-13.7417
0.55	-12.7854
0.56	-11.8329
0.57	-10.6017
0.58	-9.4806
0.59	-8.12965
0.6	-6.61308
0.61	-4.99726
0.62	-3.42928
0.63	-1.77639
0.64	0.0721562
0.65	2.10176
0.66	4.20874
0.67	6.38034
